"week" "isotherm.1" "isotherm.2"
"1" 1 302.554180219195 -1708.88287543517
"2" 2 286.342601199531 -2151.03781935069
"3" 3 271.521759703781 -1469.32277298959
"4" 4 332.130923578011 -1373.81106667733
"5" 5 418.252418792916 -2073.54836585123
"6" 6 518.926333785003 -1845.59739772081
"7" 7 544.584974096693 -2222.11239996574
"8" 8 729.470464024441 -1441.54643128416
"9" 9 914.086453420779 -719.438783235237
"10" 10 1019.43631409867 -622.416302731802
"11" 11 1224.65790312381 -206.419266257312
"12" 12 1371.29027494454 30.0245287829419
"13" 13 1530.05678786362 134.655886701617
"14" 14 1670.79187889106 563.867335377412
"15" 15 1673.84579900818 667.405368299066
"16" 16 1825.01137859771 820.558404904036
"17" 17 2032.59764502395 901.335199718515
"18" 18 2192.83444727185 1222.42122308341
"19" 19 2420.26445204667 1342.76169460766
"20" 20 2577.35427247429 1467.10024066615
"21" 21 2730.32458766278 1649.4658212525
"22" 22 2816.88184801893 1923.05600057294
"23" 23 2980.54931017777 2045.50214097229
"24" 24 3048.11574198932 2114.76256471662
"25" 25 3208.69045015651 2179.83739650377
"26" 26 3334.78767811672 2262.3523393585
"27" 27 3442.14488344839 2339.737838292
"28" 28 3451.52890646064 2449.51931347303
"29" 29 3472.87500345829 2480.0996529435
"30" 30 3585.64503858792 2461.45474414647
"31" 31 3667.62842669443 2722.5409147956
"32" 32 3653.64200013594 2817.60165134436
"33" 33 3653.87916103428 2777.86761074344
"34" 34 3549.04827677598 2506.81034641864
"35" 35 3474.37376240438 2230.66129753628
"36" 36 3415.54764587423 2367.16485662983
"37" 37 3340.29080603438 2057.67970477847
"38" 38 3327.55042946297 1846.04061145664
"39" 39 3094.2183810493 1794.95049281416
"40" 40 2974.65417714711 1421.86882417239
"41" 41 2833.33633757969 1065.1777356183
"42" 42 2547.25112428815 991.959403954427
"43" 43 2314.05759288656 563.126042541721
"44" 44 2072.35452669989 400.131204967447
"45" 45 1756.80658892037 522.538740248644
"46" 46 1361.95546365633 118.599125585887
"47" 47 1073.32315317749 -160.92183619984
"48" 48 866.635201572399 -668.445908863787
"49" 49 717.298470432251 -653.093249029248
"50" 50 546.495060482984 -47.1559439042139
"51" 51 392.362128874799 -462.654758304111
"52" 52 382.72280741812 -895.365173028572
"53" 53 395.633650290175 -1328.31587073913
