"Q_Nr" "Station_Q" "River" "area" "elev_s" "elev_ezg" "Glacier" "C_Nr" "Station_C" "elev" "start" "end" "p.1" "p.2" "p.3" "p.4" "p.5" "p.6" "p.7" "p.8" "p.9" "p.10" "p.11" "p.12" "p.13" "p.14" "p.15" "p.16" "p.17" "p.18" "p.19" "p.20" "p.21" "p.22" "p.23" "p.24" "p.25" "p.26" "p.27" "p.28" "p.29" "p.30" "p.31" "p.32" "p.33" "p.34" "p.35" "p.36" "p.37" "p.38" "p.39" "p.40" "p.41" "p.42" "p.43" "p.44" "p.45" "p.46" "p.47" "p.48" "p.49" "p.50" "p.51" "p.52" "coeff.1" "coeff.2" "coeff.3" "coeff.4" "coeff.5" "coeff.6" "coeff.7" "coeff.8" "coeff.9" "coeff.10" "coeff.11" "coeff.12" "coeff.13" "coeff.14" "coeff.15" "coeff.16" "coeff.17" "coeff.18" "coeff.19" "coeff.20" "coeff.21" "coeff.22" "coeff.23" "coeff.24" "coeff.25" "coeff.26" "coeff.27" "coeff.28" "coeff.29" "coeff.30" "coeff.31" "coeff.32" "coeff.33" "coeff.34" "coeff.35" "coeff.36" "coeff.37" "coeff.38" "coeff.39" "coeff.40" "coeff.41" "coeff.42" "coeff.43" "coeff.44" "coeff.45" "coeff.46" "coeff.47" "coeff.48" "coeff.49" "coeff.50" "coeff.51" "coeff.52" "var_imp.1" "var_imp.2" "var_imp.3" "var_imp.4" "var_imp.5" "var_imp.6" "var_imp.7" "var_imp.8" "var_imp.9" "var_imp.10" "var_imp.11" "var_imp.12" "var_imp.13" "var_imp.14" "var_imp.15" "var_imp.16" "var_imp.17" "var_imp.18" "var_imp.19" "var_imp.20" "var_imp.21" "var_imp.22" "var_imp.23" "var_imp.24" "var_imp.25" "var_imp.26" "var_imp.27" "var_imp.28" "var_imp.29" "var_imp.30" "var_imp.31" "var_imp.32" "var_imp.33" "var_imp.34" "var_imp.35" "var_imp.36" "var_imp.37" "var_imp.38" "var_imp.39" "var_imp.40" "var_imp.41" "var_imp.42" "var_imp.43" "var_imp.44" "var_imp.45" "var_imp.46" "var_imp.47" "var_imp.48" "var_imp.49" "var_imp.50" "var_imp.51" "var_imp.52"
"1" 2161 "Blatten bei Naters" "Massa"  195.0 1446 2945 65.90 "GRH" "Grimsel Hospiz " 1980 NA NA  7.188360  6.696296  6.004762  6.667549  5.996473  7.907407  6.911993  5.837213  5.310053  5.262081  5.228571  6.218695  5.957672  6.069312  6.346208  5.335626  5.022575  5.215168  4.064198  4.562787  4.620459  4.994004  5.190123  4.729630  4.338448  4.124574  4.465893  4.813929  4.406071  3.583393  4.088536  4.616049  3.962257  4.613580  4.251499  3.957321  4.140536  3.635000  4.954643  4.772679  4.130357  4.719643  4.779643  4.923393  5.476071  6.535536  5.509821  5.455714  6.212857  6.267857  6.647321  5.592066  4.748999e-04  5.494024e-04  2.815823e-04  3.241656e-04  1.207427e-04  5.465387e-04  3.155540e-04 -5.053164e-05 -8.500933e-05 -1.026348e-04  8.892825e-04  3.635806e-04  3.305695e-03  9.062172e-03 -1.878078e-03  1.372911e-02  1.300314e-02  4.940744e-02  4.952376e-02  3.099612e-02  4.631669e-02  1.040115e-01  1.792099e-01  2.583220e-01  4.969598e-01  1.392411e-01  2.521092e-01  3.626868e-01  6.813184e-02  2.085953e-01  2.090796e-01  2.537958e-01  2.428378e-01  3.360448e-01  2.089771e-01  6.812213e-02  1.802335e-01  1.709955e-01  1.396558e-01  3.329000e-02  1.173900e-01  1.072810e-01  1.716589e-02  4.209434e-02  4.492101e-03  1.289638e-02  1.953722e-03 -1.361192e-04  1.079150e-03  2.632598e-03  1.496241e-03  3.817000e-04 1.690506e-02 2.489485e-02 2.377495e-03 2.076372e-02 4.961540e-03 2.194050e-02 2.929206e-03 4.872999e-02 4.960850e-03 4.648219e-03 8.932811e-03 1.366785e-02 1.361938e-02 2.357861e-02 4.731303e-02 5.720725e-02 2.863609e-02 4.197241e-02 4.497779e-02 2.210931e-02 1.890718e-02 2.960653e-02 3.359648e-02 2.622285e-02 7.012054e-02 3.380829e-02 5.149229e-02 6.788295e-02 8.699318e-02 8.231617e-02 3.569757e-02 3.237281e-02 4.508641e-02 3.549296e-02 3.087253e-02 3.800516e-02 7.473080e-02 1.485267e-02 4.453936e-02 4.751045e-02 5.915323e-02 3.489497e-02 2.096582e-02 2.660883e-02 1.950155e-03 1.073581e-01 6.122088e-03 2.108330e-03 3.640530e-03 5.985842e-02 3.999694e-02 1.695005e-02
"2" 2268 "Gletsch" "Rhone"   38.9 1761 2719 52.20 "GRH" "Grimsel Hospiz " 1980 NA NA  7.126566  6.119298  5.452882  7.070426  5.374185  6.557895  6.915288  6.123559  5.425564  4.819799  5.450376  6.547619  6.068421  6.022556  7.063659  5.673684  4.795990  5.426065  4.132832  4.664662  4.483208  4.975439  5.436842  4.559148  4.122055  4.173434  4.297243  4.705263  4.479950  3.790727  4.131328  5.078697  4.123058  4.271930  4.510777  3.904337  3.954337  3.420408  4.506122  4.458673  4.550000  4.612500  3.690051  4.439031  4.460714  6.346429  5.632398  5.894133  5.585969  7.160459  7.367347  5.485665 -3.677531e-04 -4.552690e-04  1.394850e-04  6.271869e-04 -8.054774e-05 -4.467059e-04  3.650366e-03  1.429642e-03 -1.524310e-03  2.704553e-04 -1.305534e-03  5.759654e-03  4.031301e-03  9.175774e-03  1.363809e-03 -3.099030e-03  9.752504e-03  5.592461e-02  9.217492e-02  6.278174e-02  8.284011e-02  1.520699e-01  2.037229e-01  3.333764e-01  4.555555e-01  4.779129e-01  4.294852e-01  4.441815e-01  1.700889e-01  2.400590e-01  4.572285e-01  4.810191e-01  4.727181e-01  4.295761e-01  2.124462e-01  1.198730e-01  1.354090e-01  3.389349e-01  2.895197e-01  3.054985e-02  1.645801e-01  8.691669e-02  3.095192e-02  4.027176e-02  6.659348e-03  2.742355e-02  4.347358e-03  6.161387e-03  4.699874e-03  5.715587e-03  7.716036e-03  1.737956e-03 3.918001e-03 3.593365e-03 8.682708e-03 4.054674e-02 1.624970e-02 8.604907e-05 5.746292e-03 1.353184e-02 2.532327e-03 1.157483e-02 6.242345e-03 1.874479e-02 2.604186e-02 1.688102e-02 6.176437e-02 9.196008e-02 4.419432e-02 4.414785e-02 6.301582e-02 1.798778e-02 2.221962e-02 2.844303e-02 3.941552e-02 3.133111e-02 5.924859e-02 3.921334e-02 2.852459e-02 6.560238e-02 6.425601e-02 8.330723e-02 4.623363e-02 4.421239e-02 4.764823e-02 6.988334e-02 3.266178e-02 4.139935e-02 5.258222e-02 4.251353e-02 6.710962e-02 3.073245e-02 1.478666e-01 2.706098e-02 2.168574e-02 1.943164e-02 2.490748e-03 1.598397e-01 4.591564e-03 1.387453e-02 8.129765e-03 2.320182e-02 5.965078e-02 2.295536e-02
"3" 2219 "Lenk" "Simme"   35.7 1096 2370 34.60 "BER" "Bern"  552 NA NA  2.120290  2.224224  1.656522  2.443478  1.479089  2.558178  1.996480  1.785921  2.124224  1.543271  1.763768  2.486335  2.267495  2.867702  2.640166  2.162526  2.843478  2.994617  3.131884  3.137681  3.564596  3.840373  4.289855  3.695859  3.746998  3.069151  3.847619  3.886749  3.367909  2.727743  3.237267  4.520290  3.589234  3.734576  3.400828  3.034034  3.287395  2.918697  2.999790  2.413445  2.236134  2.477521  2.472899  2.665756  2.265126  3.234874  2.305672  2.363655  2.398109  2.260924  2.231303  2.268056  3.031874e-02  4.980658e-02  1.374478e-02  6.207803e-03  9.236940e-03  1.692638e-02  5.549130e-02  4.602261e-02  1.392373e-02  3.870145e-02  4.533933e-02  3.685568e-02  9.565178e-02  3.981571e-02  7.736014e-03  6.169082e-02  6.864366e-02  1.976158e-01  9.997648e-02  2.297210e-01  2.946528e-01  3.478187e-01  4.043993e-01  4.806389e-01  3.642510e-01  5.214438e-01  4.842293e-01  4.078640e-01  2.766349e-01  4.745382e-01  1.834614e-01  4.482029e-01  2.994417e-01  5.104922e-01  5.853803e-01  3.512013e-01  1.918769e-01  2.528025e-01  2.206178e-01  1.335700e-01  2.807470e-01  9.391388e-02  1.262282e-01  1.116107e-01  1.142306e-01  7.954369e-02  2.659072e-02  7.721073e-02  4.302940e-02  1.198927e-02  2.492933e-02  1.915969e-02 5.954632e-02 1.804797e-01 6.149734e-02 7.782027e-03 1.126544e-02 8.229319e-02 1.613165e-01 2.581371e-01 4.072247e-02 6.215676e-02 9.293197e-02 4.904654e-02 6.553288e-02 1.131284e-02 1.471388e-02 2.243851e-02 1.574279e-02 4.129897e-02 2.012828e-02 3.451286e-02 8.631169e-02 3.984988e-02 3.764497e-02 1.172881e-01 3.376493e-02 4.434020e-02 4.862931e-02 5.468520e-02 1.606621e-02 4.288885e-02 1.225549e-02 1.786832e-01 5.550216e-02 1.256603e-01 3.166749e-01 8.115705e-02 3.407800e-02 8.515103e-02 1.076098e-01 2.849383e-02 2.701783e-01 1.311981e-02 9.607070e-02 2.045259e-01 1.677967e-01 2.382801e-01 6.178941e-02 1.422277e-01 1.356638e-01 2.487022e-02 6.979121e-02 5.594029e-02
"4" 2299 "Erstfeld" "Alpbach"   20.6 1022 2200 27.70 "ENG" "Engelberg" 1035 NA NA  2.986264  2.649865  2.208086  3.467655  2.620485  3.232075  3.277898  2.924528  3.029380  2.378437  3.158760  3.930728  3.601348  3.987871  4.317520  3.471159  3.977358  4.639084  4.165768  4.424798  4.897574  5.838005  6.449865  6.244205  6.099730  5.720216  6.180863  6.775741  6.264151  6.168194  5.587062  6.968194  5.783827  5.669542  5.622642  4.578297  4.176099  3.695330  3.956593  3.636813  3.553571  3.126099  2.484341  3.445879  2.890934  4.404121  3.354670  3.285165  2.895879  3.964835  3.961264  2.918590  2.008875e-02  4.350949e-02 -1.544209e-02  1.150924e-02  5.251000e-03  2.839842e-02  6.050192e-02  8.708095e-03  2.515008e-02 -3.198129e-04  3.503959e-02  1.041710e-01  1.418473e-01 -5.775931e-03  6.142210e-02  1.966159e-02  1.077540e-01  2.319713e-01  3.734195e-01  3.252173e-01  1.523353e-01  3.970811e-01  3.889591e-01  3.814783e-01  4.591716e-01  7.971066e-01  5.815075e-01  7.198199e-01  3.735259e-01  5.917467e-01  4.508657e-01  6.458764e-01  5.504623e-01  6.332128e-01  4.906546e-01  5.295600e-01  5.101625e-01  5.286059e-01  5.164833e-01  2.815496e-01  6.751422e-01  4.051204e-01  2.873365e-01  2.332731e-01  1.713054e-01  3.378849e-01  1.197336e-01  8.916639e-02  6.854107e-02  1.472150e-01  4.948888e-02  4.263097e-02 3.444331e-02 1.374099e-01 2.985726e-03 1.431469e-02 4.438320e-03 7.617932e-02 1.947645e-01 5.661672e-03 7.593372e-02 1.144875e-03 2.080100e-02 8.000795e-02 2.991251e-02 1.998225e-02 6.444407e-02 8.339957e-02 2.554007e-02 3.720557e-02 6.635995e-02 4.545367e-02 2.381020e-02 7.716989e-02 6.139393e-02 8.482823e-02 1.021047e-01 9.866070e-02 1.114446e-01 1.545285e-01 6.451815e-02 8.113224e-02 7.472769e-02 3.265602e-01 1.511587e-01 3.832106e-01 3.093252e-01 1.813789e-01 1.701078e-01 2.908555e-01 3.035634e-01 1.630713e-01 6.528218e-01 2.348837e-01 2.352590e-01 4.341105e-01 3.796834e-01 5.416335e-01 1.518696e-01 1.483928e-01 1.858217e-01 1.242329e-01 5.462636e-02 8.097524e-02
"5"  562 "Tierfehd" "Linth"   76.0  805 2330 23.90 "ANT" "Andermatt" 1442 NA NA  4.946984  4.043492  4.020317  2.423492  3.236825  5.144127  3.981587  2.967937  3.423810  3.817460  2.811429  3.126984  3.693016  4.359048  3.962222  4.139048  4.253333  3.681587  3.281270  4.961905  4.419048  4.263810  4.614921  4.779048  4.811429  4.370476  5.312063  4.864762  3.973333  3.435556  4.172698  5.445079  5.247619  4.968571  4.044444  3.681905  3.208799  5.510559  5.543168  4.338820  2.713354  3.745652  6.089441  4.288199  5.711180  4.203106  3.737888  4.234783  4.301242  3.454348  4.181988  3.884209  3.022366e-03  1.930698e-02 -2.022261e-03 -7.977639e-04  5.758006e-03  4.469165e-03  2.342512e-02  8.632383e-03  4.305688e-03  7.803247e-03  4.457822e-03  4.285664e-03  5.275909e-03  2.020187e-02  1.348343e-02  1.641282e-02  2.189708e-02  7.644435e-02  3.255353e-02  1.626985e-01  2.703485e-01  2.967569e-01  2.869352e-01  5.712718e-01  3.326910e-01  4.133995e-01  4.899568e-01  5.707997e-01  2.625274e-01  6.295751e-01  6.075936e-01  3.607318e-01  3.920345e-01  2.202313e-01  5.249655e-01  3.188721e-01  4.255617e-01  3.356621e-01  3.144246e-01  3.522905e-01  1.967662e-01  1.183278e-01  1.079557e-01  2.395581e-01  2.173068e-02  8.441175e-02  4.897673e-02  1.714675e-02  4.023227e-03  8.161411e-02  1.091931e-02  1.677346e-02 9.151213e-02 1.236888e-01 1.926946e-03 5.838628e-03 3.206079e-02 9.609293e-02 1.368376e-01 1.286778e-01 1.151721e-02 6.593455e-02 9.974317e-03 1.809912e-03 3.449027e-03 2.516574e-02 1.508203e-02 6.420317e-03 8.504683e-03 3.449952e-02 2.162388e-02 3.766512e-02 4.507950e-02 5.568002e-02 3.712722e-02 1.075369e-01 6.251818e-02 9.790625e-02 1.612281e-01 2.084336e-01 1.437398e-02 1.663146e-01 4.012005e-01 1.492728e-01 2.425568e-01 1.335475e-01 3.851692e-01 1.703942e-01 8.476942e-02 3.722602e-01 2.684529e-01 4.183420e-01 2.761090e-01 1.736126e-01 2.980894e-01 4.574243e-01 6.913171e-02 2.781755e-01 1.419107e-01 4.506635e-02 1.257066e-03 2.457942e-01 4.695378e-02 4.712059e-02
"6" 2200 "Zweiluetschinen" "Weisse Luetschine"  164.0  650 2170 17.60 "GRH" "Grimsel Hospiz " 1980 NA NA  6.949107  6.691786  6.079821  6.747500  6.071429  7.977500  6.998393  5.910179  5.362857  5.085357  5.277679  6.273036  6.013036  6.080179  6.338214  5.347679  5.032500  5.197500  4.033929  4.610179  4.609464  5.010179  5.180179  4.780357  4.259821  4.156667  4.439783  4.806329  4.389693  3.586438  4.037321  4.666429  4.011786  4.657857  4.285179  3.992405  4.189873  3.650090  4.932911  4.779385  4.149910  4.669982  4.729837  4.859675  5.536709  6.618264  5.508318  5.430380  6.281193  6.347197  6.731465  5.662852  1.384854e-02  1.322236e-02  5.941424e-03  8.864074e-03  8.832597e-03  9.915205e-03  2.152629e-02  1.209493e-02  1.485629e-02  9.669395e-03  1.750617e-02  2.939789e-02  2.527128e-02  2.521421e-02  2.319919e-02  4.681695e-02  5.179725e-02  7.136723e-02  9.048920e-02  9.009490e-02  1.245726e-01  2.304841e-01  2.172736e-01  2.759191e-01  2.332076e-01  3.112839e-01  3.582924e-01  3.333047e-01  2.752111e-01  4.560838e-01  2.810293e-01  4.591677e-01  2.914585e-01  3.663722e-01  2.688749e-01  1.959180e-01  1.727105e-01  2.675880e-01  1.647040e-01  1.056959e-01  2.159126e-01  1.063007e-01  4.663140e-02  8.921637e-02  4.490021e-02  7.826517e-02  4.306038e-02  2.268572e-02  1.729810e-02  2.703596e-02  1.529812e-02  1.790262e-02 9.527402e-02 5.437575e-02 1.787167e-02 7.205525e-02 6.805439e-02 6.865465e-02 9.460579e-02 1.412207e-01 8.320541e-02 8.104005e-03 2.569054e-02 4.319117e-02 2.004866e-02 2.918536e-02 4.677969e-02 5.397927e-02 3.872604e-02 1.653335e-02 4.046907e-02 2.500217e-02 2.241566e-02 4.969672e-02 3.997707e-02 6.717742e-02 6.174861e-02 5.334220e-02 6.751147e-02 8.031587e-02 7.830059e-02 1.191366e-01 1.043849e-01 2.916636e-01 1.290691e-01 3.496067e-01 1.779868e-01 1.480690e-01 1.327992e-01 3.121658e-01 2.035226e-01 1.454147e-01 4.451803e-01 9.387811e-02 5.666095e-02 1.081439e-01 1.346132e-01 3.283836e-01 1.232391e-01 3.943990e-02 7.361305e-02 9.545955e-02 7.768089e-02 9.547876e-02
"7" 2109 "Gsteig" "Luetschine"  379.0  585 2050 17.40 "ENG" "Engelberg" 1035 NA NA  3.347347  3.404354  2.868707  2.920680  2.795102  3.620272  3.222313  2.943401  2.964218  3.108844  2.767755  3.422041  3.504218  4.245170  4.244354  3.845034  3.756463  4.357959  4.171429  4.540000  5.045034  5.459048  6.171156  6.763265  6.562041  6.061497  6.122449  6.830204  5.994558  6.080272  5.785986  6.337279  5.278095  5.939184  5.059864  4.498764  4.605495  4.016346  4.108929  3.751923  3.358791  3.029808  3.680220  3.600275  3.410852  4.023352  3.239148  3.132280  3.165522  3.192857  3.518681  3.212059  4.530067e-02  7.166841e-02  3.472029e-02  1.761260e-02  2.499487e-02  3.680522e-02  9.599714e-02  3.532938e-02  2.863936e-02  4.002476e-02  4.103763e-02  7.107667e-02  5.816292e-02  5.848306e-02  6.606716e-02  1.094372e-01  9.809313e-02  1.230247e-01  1.427923e-01  1.881444e-01  7.912318e-02  3.046502e-01  2.141992e-01  1.850561e-01  2.303953e-01  2.740196e-01  2.519209e-01  2.765732e-01  2.077449e-01  2.672676e-01  2.348521e-01  2.604160e-01  2.643573e-01  3.381496e-01  2.378634e-01  2.086575e-01  1.985160e-01  2.178931e-01  2.078154e-01  1.712363e-01  2.545047e-01  1.362997e-01  9.425489e-02  1.397854e-01  1.070672e-01  1.247845e-01  9.428187e-02  5.943038e-02  4.146111e-02  7.567766e-02  6.734558e-02  7.573596e-02 1.210644e-01 2.840652e-01 6.857748e-02 3.463064e-02 8.327553e-02 1.515627e-01 2.685917e-01 1.174982e-01 7.006065e-02 4.304726e-02 4.861497e-02 8.234254e-02 1.331842e-02 1.438853e-02 2.264778e-02 3.613741e-02 1.897132e-02 2.378353e-02 3.359496e-02 3.038292e-02 9.672022e-03 9.194949e-02 4.433466e-02 5.790789e-02 6.005605e-02 7.084388e-02 6.778044e-02 1.488473e-01 6.409772e-02 1.087271e-01 1.339571e-01 1.746837e-01 1.581478e-01 3.441143e-01 2.082814e-01 1.485129e-01 1.280735e-01 2.594154e-01 2.784677e-01 2.660200e-01 4.689771e-01 6.355419e-02 1.477274e-01 2.127879e-01 2.271318e-01 3.923175e-01 1.953631e-01 1.213724e-01 1.133290e-01 2.164718e-01 2.589623e-01 1.892571e-01
"8" 2224 "Hinterrhein" "Hinterrhein"   53.7 1584 2360 17.20 "ANT" "Andermatt" 1442 NA NA  4.160084  3.886765  3.642857  3.368908  3.345168  5.100000  3.935924  3.996008  3.565756  2.975000  3.376471  4.475630  3.889496  4.783824  4.346849  3.842227  4.192017  5.669118  3.191176  4.339496  4.654832  4.361134  5.555672  4.499580  4.322479  3.871639  4.519748  4.077311  4.097269  2.966807  3.433403  5.357563  4.327941  4.760924  4.718382  4.461194  4.029424  3.895736  5.199574  4.605117  3.959275  4.046482  3.389979  4.619829  4.917484  5.476333  4.188913  3.966738  3.384222  4.387207  5.212367  3.247450 -8.717321e-04 -1.631121e-03 -1.129941e-03  1.465385e-03 -1.159160e-03  3.264682e-04  6.769102e-04  1.337938e-04  4.181983e-03  5.473312e-03 -5.169578e-04  1.097918e-02  8.141039e-02  1.444739e-02  2.349807e-02  1.815430e-02  6.308690e-02  2.226295e-01  1.808666e-01  3.022108e-01  3.262538e-01  3.984090e-01  5.004126e-01  7.355087e-01  5.273631e-01  5.182275e-01  5.828770e-01  6.226285e-01  8.027780e-01  3.692265e-01  4.729683e-01  8.027397e-01  5.078578e-01  5.016490e-01  7.081116e-01  7.306301e-01  7.655516e-01  5.839453e-01  5.470681e-01  3.610638e-01  5.281500e-01  4.054668e-01  2.691279e-01  2.130726e-01  9.684914e-02  1.800918e-01  3.927638e-02  1.511690e-04 -2.214705e-04  4.561310e-03  2.214066e-03  9.793278e-03 2.147090e-03 2.254928e-03 3.875504e-04 1.345124e-02 4.949329e-04 1.745653e-03 1.541681e-04 8.404215e-05 3.759032e-03 1.272589e-02 8.713622e-04 3.982279e-02 1.954308e-01 9.429803e-03 1.997469e-02 1.543354e-02 1.626152e-02 2.093207e-01 2.133345e-02 9.536659e-02 7.398306e-02 4.516813e-02 1.444248e-01 2.567863e-01 1.498296e-01 7.098091e-02 8.965153e-02 1.623914e-01 1.538273e-01 3.748611e-02 9.708084e-02 3.801556e-01 2.209238e-01 3.982412e-01 4.523580e-01 3.721337e-01 4.276910e-01 5.228551e-01 3.232720e-01 2.933559e-01 4.668418e-01 3.161062e-01 1.636210e-01 4.205338e-01 1.285742e-01 4.672059e-01 1.124663e-01 2.879369e-04 9.841943e-03 6.294983e-03 3.058459e-03 8.676522e-03
"9" 2056 "Seedorf" "Reuss"  832.0  438 2010  9.50 "ANT" "Andermatt" 1442 NA NA  4.563303  4.043119  3.581389  3.161206  3.371953  4.324640  4.139318  3.944037  3.661796  3.674050  3.243644  4.238401  4.182700  4.783355  4.371429  4.159895  4.282307  5.078178  3.464947  4.505026  4.617328  4.179817  4.926474  4.534731  4.402097  4.099476  5.122936  4.283224  4.071298  3.368283  4.030537  4.838008  4.267104  4.923984  4.413696  4.029365  4.116138  4.417460  5.114418  4.543122  3.983730  3.661772  4.452513  4.725000  4.923677  4.930952  4.180291  3.923942  3.953307  4.062302  4.354894  3.580015  1.090043e-02  3.599641e-02  7.762451e-03  2.158920e-02  9.919228e-03  9.590514e-03  4.543316e-02  1.886722e-02  1.054974e-02  2.134519e-02  2.795280e-02  3.722449e-02  6.432117e-02  2.129528e-02  4.084622e-02  4.557005e-02  8.711221e-02  1.466937e-01  6.089161e-02  1.778206e-01  1.987646e-01  3.197489e-01  1.929260e-01  3.327015e-01  2.138476e-01  1.985316e-01  2.618455e-01  2.833507e-01  1.884664e-01  2.167593e-01  2.614231e-01  2.337057e-01  2.318398e-01  2.540487e-01  2.366186e-01  2.407928e-01  1.856031e-01  2.006601e-01  2.230027e-01  1.867029e-01  1.651324e-01  1.962472e-01  1.012542e-01  1.169816e-01  6.145703e-02  1.490459e-01  5.610104e-02  3.089525e-02  1.839039e-02  5.195971e-02  1.923128e-02  3.673796e-02 5.199392e-02 9.464978e-02 5.834971e-03 3.759092e-02 1.879020e-02 2.265346e-02 1.992067e-01 5.825319e-02 1.502966e-02 1.757328e-02 3.395801e-02 5.372622e-02 6.921026e-02 8.972746e-03 1.857963e-02 9.325139e-03 3.670991e-02 1.312148e-01 2.016802e-02 5.038014e-02 5.620320e-02 6.970766e-02 3.564881e-02 8.631676e-02 5.903559e-02 5.018283e-02 1.545363e-01 9.717973e-02 4.705100e-02 4.108234e-02 2.280535e-01 1.922919e-01 2.545913e-01 4.281549e-01 4.232816e-01 3.393652e-01 2.559196e-01 4.368212e-01 4.110548e-01 3.516207e-01 3.056944e-01 3.113029e-01 2.856778e-01 2.280142e-01 2.013026e-01 5.280452e-01 1.402148e-01 6.132212e-02 2.233425e-02 1.562180e-01 6.347103e-02 8.673459e-02
"10" 2276 "Isenthal" "Grosstalbach"   43.9  767 1820  9.30 "ENG" "Engelberg" 1035 NA NA  3.118112  2.896939  2.173469  3.367347  2.481378  3.186967  3.326566  3.084461  2.989223  2.445614  3.146867  3.871679  3.522055  4.087970  4.294737  3.687218  3.855138  4.687218  4.102256  4.628321  4.854637  5.780952  6.510526  6.126566  6.333083  5.728822  6.023559  7.130075  6.309273  6.132331  5.537343  7.080702  5.802256  5.675439  5.463158  4.445918  4.256633  3.759184  3.991582  3.624490  3.455357  3.261224  2.664286  3.516837  2.891837  4.253316  3.115816  3.175510  2.801020  3.867347  3.808673  2.930531  9.297560e-02  9.876337e-02  1.202873e-02  3.669578e-02  4.664842e-02  7.647152e-02  8.164990e-02  6.820796e-02  1.084939e-01  6.150414e-02  1.386532e-01  1.932807e-01  2.917027e-01  8.755700e-02  1.297840e-01  1.632525e-01  3.461444e-01  1.969738e-01  1.126952e-01  1.807948e-01  5.349628e-02  2.524506e-01  2.622594e-01  1.074425e-01  2.188119e-01  3.887185e-01  2.309417e-01  2.388072e-01  2.754591e-01  2.554816e-01  2.261425e-01  3.592391e-01  3.096511e-01  3.883209e-01  2.194362e-01  3.086406e-01  2.303501e-01  2.381340e-01  2.064938e-01  1.992999e-01  2.485176e-01  1.780577e-01  8.888914e-02  1.417479e-01  1.819720e-01  2.297909e-01  1.465326e-01  6.780311e-02  1.086638e-01  1.054093e-01  7.188282e-02  1.108746e-01 1.799027e-01 2.027767e-01 9.681743e-03 9.682695e-02 1.109236e-01 1.292550e-01 1.846364e-01 2.391663e-01 2.868606e-01 1.972483e-02 1.390567e-01 2.209489e-01 1.543015e-01 1.298759e-02 3.213619e-02 3.519767e-02 1.039338e-01 4.826370e-02 1.761934e-02 3.731980e-02 8.191877e-03 1.174817e-01 1.464509e-01 3.599105e-02 1.361455e-01 1.910303e-01 2.010687e-01 2.954118e-01 1.975403e-01 2.530842e-01 2.070598e-01 4.414697e-01 3.063445e-01 4.715503e-01 2.557027e-01 3.872944e-01 2.612894e-01 3.674902e-01 2.851513e-01 2.970319e-01 3.983880e-01 2.509741e-01 6.833042e-02 2.772889e-01 2.792772e-01 4.370502e-01 2.001039e-01 1.116182e-01 2.277040e-01 1.663772e-01 1.265010e-01 2.247900e-01
