"Q_Nr" "Station_Q" "River" "area" "elev_s" "elev_ezg" "Glacier" "C_Nr" "Station_C" "elev" "start" "end" "p.1" "p.2" "p.3" "p.4" "p.5" "p.6" "p.7" "p.8" "p.9" "p.10" "p.11" "p.12" "p.13" "p.14" "p.15" "p.16" "p.17" "p.18" "p.19" "p.20" "p.21" "p.22" "p.23" "p.24" "p.25" "p.26" "p.27" "p.28" "p.29" "p.30" "p.31" "p.32" "p.33" "p.34" "p.35" "p.36" "p.37" "p.38" "p.39" "p.40" "p.41" "p.42" "p.43" "p.44" "p.45" "p.46" "p.47" "p.48" "p.49" "p.50" "p.51" "p.52" "coeff.1" "coeff.2" "coeff.3" "coeff.4" "coeff.5" "coeff.6" "coeff.7" "coeff.8" "coeff.9" "coeff.10" "coeff.11" "coeff.12" "coeff.13" "coeff.14" "coeff.15" "coeff.16" "coeff.17" "coeff.18" "coeff.19" "coeff.20" "coeff.21" "coeff.22" "coeff.23" "coeff.24" "coeff.25" "coeff.26" "coeff.27" "coeff.28" "coeff.29" "coeff.30" "coeff.31" "coeff.32" "coeff.33" "coeff.34" "coeff.35" "coeff.36" "coeff.37" "coeff.38" "coeff.39" "coeff.40" "coeff.41" "coeff.42" "coeff.43" "coeff.44" "coeff.45" "coeff.46" "coeff.47" "coeff.48" "coeff.49" "coeff.50" "coeff.51" "coeff.52" "var_imp.1" "var_imp.2" "var_imp.3" "var_imp.4" "var_imp.5" "var_imp.6" "var_imp.7" "var_imp.8" "var_imp.9" "var_imp.10" "var_imp.11" "var_imp.12" "var_imp.13" "var_imp.14" "var_imp.15" "var_imp.16" "var_imp.17" "var_imp.18" "var_imp.19" "var_imp.20" "var_imp.21" "var_imp.22" "var_imp.23" "var_imp.24" "var_imp.25" "var_imp.26" "var_imp.27" "var_imp.28" "var_imp.29" "var_imp.30" "var_imp.31" "var_imp.32" "var_imp.33" "var_imp.34" "var_imp.35" "var_imp.36" "var_imp.37" "var_imp.38" "var_imp.39" "var_imp.40" "var_imp.41" "var_imp.42" "var_imp.43" "var_imp.44" "var_imp.45" "var_imp.46" "var_imp.47" "var_imp.48" "var_imp.49" "var_imp.50" "var_imp.51" "var_imp.52"
"1" 2161 "Blatten bei Naters" "Massa"  195.0 1446 2945 65.90 "GRH" "Grimsel Hospiz " 1980 NA NA -6.09223986 -5.76172840 -5.60246914 -5.83439153 -5.65008818 -5.68412698 -6.70370370 -5.65943563 -4.95132275 -4.76860670 -3.65679012 -3.13756614 -2.38994709 -1.74179894 -1.92839506 -0.75026455  0.43121693  1.26931217  2.79753086  3.50952381  4.28342152  4.80194004  5.91287478  6.36649030  7.57160494  8.23350970  8.74017857  8.92642857  9.00321429  9.71571429  9.87689594  9.58906526  9.59770723  8.80970018  8.06701940  7.84464286  7.18589286  6.79000000  5.66125000  5.03821429  4.32625000  3.13250000  2.17839286  0.99250000 -0.39375000 -1.84750000 -2.60232143 -3.17339286 -3.84482143 -4.62017857 -5.03178571 -5.56722222  6.752362e-04  1.416614e-03  1.435900e-03 -4.552155e-04  1.744018e-04  8.958256e-04  3.143291e-03  2.298174e-03  5.398726e-03  6.035457e-03  1.052028e-02  1.426101e-02  3.310028e-02  4.516642e-02  4.682886e-02  9.324964e-02  1.180025e-01  2.102851e-01  3.121995e-01  3.996062e-01  6.849805e-01  9.027537e-01  1.024423e+00  1.087958e+00  1.616166e+00  1.504005e+00  1.569832e+00  1.726941e+00  1.596119e+00  1.745664e+00  1.540570e+00  1.782025e+00  1.721454e+00  1.754812e+00  1.475262e+00  1.394399e+00  1.198304e+00  9.535659e-01  8.440804e-01  5.296192e-01  3.828525e-01  4.112691e-01  1.093365e-01  1.307632e-01  2.767403e-02  2.144463e-02  1.115140e-02  4.550477e-03  3.971937e-03  3.191644e-03  2.988030e-03 -4.979556e-05 0.0021463321 0.0082486826 0.0052064964 0.0035823618 0.0229731765 0.0104129667 0.0782769055 0.0499569874 0.1619665591 0.1875341275 0.2108792898 0.1861065296 0.2598708961 0.2480016271 0.2417601347 0.2666419015 0.2448893934 0.3857408369 0.3719214986 0.2844026795 0.3939337977 0.3583849681 0.3634313928 0.3640496162 0.5322080206 0.4883353308 0.4566738570 0.5048889919 0.5377433605 0.5028351471 0.4880239929 0.5685206346 0.4815697843 0.5955934329 0.3799882167 0.4874014223 0.4809516298 0.4428345974 0.4233755644 0.3421148519 0.2823608271 0.2775195404 0.1524482007 0.2051853383 0.0252517204 0.0756962718 0.0814345460 0.0282419168 0.0197970076 0.0254001245 0.0099172161 0.0269657014
"2" 2268 "Gletsch" "Rhone"   38.9 1761 2719 52.20 "GRH" "Grimsel Hospiz " 1980 NA NA -5.64761905 -5.42130326 -5.20000000 -5.59047619 -5.54937343 -5.44937343 -6.44761905 -5.62907268 -4.88095238 -4.63609023 -3.57042607 -3.09874687 -2.49724311 -1.67518797 -2.26791980 -1.03759398  0.60025063  1.34536341  3.00902256  3.68145363  4.53383459  4.92355890  5.82130326  6.59949875  7.70000000  8.43358396  8.84285714  9.23533835  9.21328321  9.72756892 10.20225564  9.76716792  9.82957393  9.00802005  7.78922306  7.62040816  7.29872449  6.83469388  5.72346939  5.31938776  4.69642857  3.03698980  2.57806122  1.73852041 -0.20892857 -1.52627551 -2.69540816 -3.23112245 -3.56556122 -4.50714286 -4.79795918 -5.03246528  2.006325e-03 -1.843086e-03  2.125755e-04  3.125050e-03  4.230275e-03 -7.862215e-04  4.528474e-03 -1.374662e-03  7.675907e-03  6.430965e-03  1.353293e-02  2.185050e-02  3.669005e-02  5.719612e-02  7.307227e-02  5.043060e-02  1.360671e-01  2.675697e-01  4.360392e-01  4.584665e-01  6.683250e-01  1.018459e+00  1.213129e+00  1.357760e+00  1.460516e+00  1.593552e+00  1.692466e+00  1.835616e+00  1.401963e+00  1.766062e+00  1.835936e+00  1.662585e+00  1.597946e+00  1.356818e+00  1.335566e+00  1.394517e+00  8.779757e-01  9.316805e-01  7.469031e-01  4.521179e-01  3.433622e-01  2.871817e-01  1.204647e-01  8.795427e-02  1.179802e-02  3.107838e-02  2.360200e-02  9.263954e-03  1.583916e-03  1.331808e-04  2.344542e-02  1.263284e-03 0.0255800811 0.0062811740 0.0078911158 0.0200749500 0.0109906498 0.0023508345 0.0229529277 0.0101475729 0.0344941186 0.1092087553 0.1142266400 0.0767945508 0.0926222598 0.1513574056 0.2065055674 0.0779573766 0.2623194630 0.5332470012 0.5162805702 0.3755848824 0.4364134671 0.4823877244 0.5389370306 0.4566459456 0.5547702885 0.5311963949 0.4821136590 0.4604627777 0.4311406037 0.4598625087 0.4634641363 0.4462190751 0.3913110448 0.5118888129 0.4372535610 0.5070471630 0.3849317885 0.4321361250 0.2097743373 0.2151080566 0.1771304408 0.1634335126 0.1983923525 0.0630795457 0.0047958600 0.0234949899 0.0465706605 0.0239545836 0.0070413772 0.0036050189 0.0769512608 0.0315961868
"3" 2219 "Lenk" "Simme"   35.7 1096 2370 34.60 "BER" "Bern"  552 NA NA -0.98778468 -1.13167702 -1.12443064 -0.72256729 -0.64554865  0.55734990  0.02298137  0.84099379  1.73416149  2.57515528  4.38819876  5.41987578  6.15672878  6.89772257  6.91200828  8.30848861  9.42422360 10.22111801 11.93250518 12.55755694 13.13250518 13.62857143 14.62919255 15.34223602 16.16935818 16.96645963 17.24265010 17.51511387 17.54803313 18.14327122 18.24140787 17.45776398 17.37888199 16.47950311 15.45362319 14.79369748 14.04600840 13.03277311 11.73214286 10.82478992  9.65357143  8.22352941  7.10609244  5.87016807  4.70420168  3.54117647  2.14516807  1.14222689  0.91470588  0.25042017 -0.20609244 -0.63459967  1.433685e-02  1.802577e-02  8.889253e-03  9.327938e-03  8.021122e-03  1.991410e-02  2.480179e-02  6.667772e-03  2.772911e-02  3.961056e-02  5.758726e-02  1.038577e-01  1.443745e-01  1.520279e-01  2.055959e-01  2.259241e-01  2.825658e-01  4.517134e-01  5.021375e-01  6.227861e-01  7.439469e-01  8.627432e-01  1.113963e+00  1.129402e+00  1.261110e+00  1.109371e+00  1.151812e+00  1.091891e+00  7.775130e-01  9.846164e-01  7.414347e-01  8.669397e-01  6.632562e-01  9.505070e-01  6.990270e-01  6.879804e-01  5.764310e-01  5.120894e-01  2.625999e-01  3.752138e-01  1.816156e-01  2.602307e-01  4.935493e-02  8.023465e-02  5.245933e-02  8.207144e-02  7.718799e-02  2.601073e-02  5.576277e-03  5.172053e-02  5.795426e-02  2.950967e-02 0.0676146292 0.1143582560 0.0726404812 0.0540090448 0.0568319829 0.1327931093 0.0875954677 0.0722199491 0.1810390458 0.2687753611 0.3115927569 0.3550873935 0.3084481131 0.3795215828 0.4552231249 0.4041385082 0.4648315333 0.4879725353 0.4817839032 0.3581448069 0.3892971575 0.4205314905 0.4182032414 0.3596523658 0.4487287165 0.3442535467 0.3613838419 0.2867951478 0.1650588112 0.1881998398 0.1937005548 0.1495378446 0.1602118860 0.3916824092 0.1857191492 0.1681921677 0.2387048441 0.3235607558 0.0697505058 0.3413302744 0.0632877828 0.1078420291 0.0405773599 0.0877971008 0.0342462843 0.1204942224 0.1065759895 0.0980936172 0.0153840232 0.0966970004 0.1577399493 0.1161263659
"4" 2299 "Erstfeld" "Alpbach"   20.6 1022 2200 27.70 "ENG" "Engelberg" 1035 NA NA -2.58351648 -2.58948787 -2.44123989 -2.02830189 -2.00350404 -1.36873315 -2.16657682 -1.07789757 -0.33611860  0.02021563  1.88598383  2.51482480  3.17924528  4.11266846  3.84043127  5.16118598  6.99299191  7.72749326  9.29757412 10.11078167 10.56442049 10.84447439 11.70269542 12.32560647 13.25929919 13.95876011 13.97654987 14.42048518 14.48140162 14.72479784 15.11374663 14.49568733 14.59460916 13.76307278 12.39056604 11.94450549 11.45302198 10.60357143  9.53901099  9.15906593  8.10824176  6.32802198  5.69120879  4.99807692  3.48434066  1.90000000  0.16868132 -0.68186813 -1.00824176 -1.72225275 -1.85164835 -2.20566239  1.455545e-02  2.628176e-02  3.110310e-02  1.320225e-02  9.325237e-03  2.962484e-02  2.490027e-02  3.716787e-02  6.645161e-02  1.163485e-01  1.010638e-01  2.231430e-01  3.156881e-01  2.938125e-01  3.588111e-01  3.759004e-01  5.330824e-01  9.930384e-01  1.017300e+00  1.105417e+00  8.187826e-01  1.179983e+00  1.198298e+00  1.273788e+00  1.334753e+00  1.349516e+00  1.387193e+00  1.295468e+00  8.895359e-01  1.355641e+00  1.073816e+00  1.098124e+00  1.001549e+00  8.467017e-01  8.777640e-01  9.024463e-01  7.738474e-01  7.154563e-01  4.976222e-01  2.213059e-01  3.856462e-01  4.156326e-01  1.172868e-01  1.421451e-01  1.050581e-01  1.541093e-01  1.264971e-01  5.069224e-02  5.164039e-02  1.247117e-01  1.603657e-01  7.285857e-02 0.0571973020 0.0985037340 0.1028594478 0.0166010829 0.0483081112 0.1085184883 0.0631755047 0.2214988304 0.3375939496 0.4584302574 0.2619978710 0.3341504787 0.3651605575 0.4048264535 0.4759989038 0.4576065987 0.5456445949 0.6123341082 0.5097911396 0.5157925109 0.3405734428 0.4632542022 0.4871296848 0.4019067223 0.5204744663 0.3049936896 0.3082785021 0.2625788391 0.1389097942 0.2696331364 0.1891472431 0.1261944673 0.1542983610 0.1057240572 0.2406102984 0.2361060088 0.1787255851 0.3136778832 0.0881873538 0.0341236533 0.0298411884 0.1673647673 0.0407331681 0.0647167113 0.0420687277 0.0911831232 0.2023817399 0.0789857254 0.1478073504 0.0712781972 0.1885176072 0.2491142067
"5"  562 "Tierfehd" "Linth"   76.0  805 2330 23.90 "ANT" "Andermatt" 1442 NA NA -6.02666667 -6.53682540 -6.61841270 -6.06253968 -5.71460317 -5.80190476 -6.16063492 -4.50380952 -3.18317460 -2.64095238 -1.66031746 -0.41301587  0.96603175  1.57746032  2.15333333  2.21619048  3.36698413  4.86761905  6.04857143  7.40761905  8.27777778  9.15555556 10.22063492 10.00571429 10.66031746 11.04412698 12.23079365 11.85492063 12.27428571 12.28222222 12.15333333 12.34476190 11.74222222 11.18507937 10.92952381 10.57523810  9.59099379  9.14689441  7.75496894  6.50279503  5.35155280  4.33447205  3.11521739  1.80062112  0.88354037 -0.95776398 -1.49316770 -1.95093168 -3.31770186 -4.36739130 -5.52484472 -5.51739130  1.402223e-02  1.255489e-02  1.230962e-02  3.057830e-03  6.721438e-03  3.836719e-03  1.763829e-02  9.333982e-03  1.056757e-02  2.240773e-02  3.837528e-02  6.543403e-02  1.081999e-01  1.426361e-01  1.930215e-01  2.406486e-01  2.910230e-01  4.230399e-01  5.640044e-01  8.588322e-01  9.850104e-01  1.043365e+00  1.195322e+00  1.380769e+00  1.158758e+00  1.459340e+00  9.927241e-01  8.241262e-01  1.072448e+00  9.833125e-01  9.154919e-01  7.148019e-01  7.630867e-01  5.087821e-01  7.143013e-01  4.443110e-01  7.966088e-01  4.599944e-01  2.958211e-01  1.521828e-01  1.343174e-01  1.477459e-01  1.933013e-01  1.399431e-01  3.751801e-02  5.261884e-02  3.241922e-02  2.075907e-02  2.896820e-05  2.949312e-02  6.136183e-03  1.822412e-02 0.0507630682 0.0952942411 0.0658289242 0.0245565868 0.0717852327 0.0433165187 0.0833940783 0.0520739524 0.0331006961 0.1242600954 0.2514683357 0.2005098335 0.2708494445 0.2408079293 0.3859298973 0.4331012738 0.3249416901 0.4855905726 0.3228123214 0.4840128260 0.4169545622 0.3849745597 0.4621119852 0.4039452460 0.4097942753 0.4909393825 0.2363860903 0.2346300521 0.2230514146 0.3373725177 0.1594625694 0.0990921832 0.0936379978 0.1418823962 0.1139371298 0.0394754104 0.3184678496 0.1302456815 0.0349785587 0.0160973913 0.0620617778 0.0595960102 0.1020846272 0.1274178081 0.0575488400 0.1154555259 0.0209986544 0.0087666624 0.0159065596 0.0240855187 0.0041513987 0.0419457245
"6" 2200 "Zweiluetschinen" "Weisse Luetschine"  164.0  650 2170 17.60 "GRH" "Grimsel Hospiz " 1980 NA NA -6.11428571 -5.78946429 -5.63750000 -5.88000000 -5.67696429 -5.65107143 -6.64785714 -5.60750000 -4.91589286 -4.75232143 -3.65357143 -3.07428571 -2.37178571 -1.72928571 -1.86714286 -0.71517857  0.45125000  1.27500000  2.84678571  3.47857143  4.29625000  4.83464286  5.94946429  6.34892857  7.60857143  8.25232143  8.74050633  8.92513562  9.03236890  9.76075949  9.89464286  9.58607143  9.53821429  8.75196429  8.03571429  7.82278481  7.14068716  6.74412297  5.62893309  5.04303797  4.33978300  3.16781193  2.16546112  1.05063291 -0.41844485 -1.88372514 -2.62495479 -3.19529837 -3.82658228 -4.67197107 -5.12296564 -5.57651195  2.368195e-02  3.001137e-02  1.121168e-02  1.805839e-02  1.556281e-02  2.158073e-02  4.534469e-02  2.739343e-02  4.172352e-02  4.808277e-02  6.542649e-02  1.296915e-01  1.595500e-01  1.552218e-01  1.982053e-01  2.648212e-01  3.105225e-01  4.930729e-01  5.448804e-01  5.745878e-01  5.883761e-01  7.050006e-01  7.700425e-01  6.609292e-01  7.644856e-01  6.278681e-01  7.258482e-01  6.122897e-01  5.576308e-01  6.420907e-01  5.246938e-01  6.200401e-01  4.757803e-01  4.506133e-01  4.510539e-01  3.797380e-01  2.672826e-01  2.660100e-01  1.713028e-01  1.174357e-01  1.187749e-01  1.467452e-01  3.612888e-02  1.101138e-01  4.258864e-02  7.426864e-02  6.383245e-02  3.888104e-02  1.959613e-02  4.001935e-02  5.849642e-02  3.296831e-02 0.0804700045 0.1083031505 0.0171518889 0.0789989074 0.0869101335 0.0759251485 0.1366299383 0.1326871348 0.2204681476 0.2823226432 0.2020812463 0.3529584914 0.2539789670 0.2577637397 0.3750159685 0.4318367851 0.4123985810 0.5089903458 0.3644324347 0.3635643864 0.3631718944 0.3666168813 0.3736934036 0.2757109758 0.4612303252 0.3457268935 0.3357597111 0.2785039496 0.3142298385 0.2538736130 0.2714288728 0.2509844364 0.1797698608 0.1646749560 0.2096177556 0.2009823157 0.1498720224 0.1440516209 0.0409615855 0.0357785757 0.0281492546 0.0430176613 0.0078031299 0.0594764126 0.0115505047 0.0309571020 0.0445770379 0.0323114844 0.0093062745 0.0291925190 0.1542166136 0.1288740983
"7" 2109 "Gsteig" "Luetschine"  379.0  585 2050 17.40 "ENG" "Engelberg" 1035 NA NA -2.83918367 -2.79047619 -2.84938776 -2.82911565 -2.53265306 -1.95877551 -2.42829932 -1.36857143 -0.48380952 -0.04367347  1.30870748  2.38108844  3.20217687  3.83224490  4.05170068  4.95455782  6.50068027  7.55795918  8.97387755  9.98557823 10.60884354 11.04408163 11.97891156 12.17795918 12.97346939 13.41278912 13.90911565 14.08122449 14.29891156 14.45659864 14.54530612 14.13387755 14.01605442 13.23510204 12.43482993 11.88049451 11.07898352 10.45219780  9.21291209  8.44244505  7.40000000  6.09574176  5.07458791  4.16854396  3.09189560  1.37307692  0.08475275 -0.55274725 -0.93873626 -1.77706044 -2.23365385 -2.27585470  2.363416e-02  2.417062e-02  1.671237e-02  1.386752e-02  1.669541e-02  2.772302e-02  4.074941e-02  3.158140e-02  5.054869e-02  7.050835e-02  7.842337e-02  1.392940e-01  1.828004e-01  1.937841e-01  2.269931e-01  2.941447e-01  2.981451e-01  5.189122e-01  5.018742e-01  5.983958e-01  5.744082e-01  6.877727e-01  6.671540e-01  6.385149e-01  7.600537e-01  7.242539e-01  6.820988e-01  5.394822e-01  5.767912e-01  5.147866e-01  5.903458e-01  5.818309e-01  5.500079e-01  5.689016e-01  5.338173e-01  3.744106e-01  3.566794e-01  3.247697e-01  1.626986e-01  1.614369e-01  1.332536e-01  1.999274e-01  7.704916e-02  1.002943e-01  4.814406e-02  6.143037e-02  6.156418e-02  3.513332e-02  2.912570e-02  3.186554e-02  3.355919e-02  4.686780e-02 0.1040052306 0.0603702753 0.0303786440 0.0492601409 0.1175772252 0.1042624340 0.1004564698 0.1477724858 0.2239825766 0.3158675768 0.2043270732 0.3183875891 0.2163857028 0.2869186950 0.3523625347 0.3934369367 0.3766582559 0.5593670039 0.3941617576 0.3913235820 0.3429261865 0.3257561461 0.3964195721 0.3321555549 0.4347509253 0.4102088994 0.3254494094 0.2565356887 0.2981269963 0.2294414377 0.3642340613 0.2626648218 0.2875330570 0.2792666626 0.3554170425 0.2614291624 0.2843692586 0.2781982943 0.0412976548 0.0937662288 0.0303236891 0.1082023068 0.0531137420 0.0761478102 0.0126598982 0.0554723907 0.0727978108 0.0582233300 0.0393477045 0.0456712764 0.0735660291 0.1139173783
"8" 2224 "Hinterrhein" "Hinterrhein"   53.7 1584 2360 17.20 "ANT" "Andermatt" 1442 NA NA -5.47247899 -5.17920168 -5.28823529 -4.99789916 -4.98403361 -4.01113445 -5.03004202 -3.83676471 -3.08214286 -2.43382353 -0.62457983  0.20231092  1.20042017  1.83025210  1.65399160  2.84684874  4.39747899  5.26554622  6.94789916  7.71449580  8.38760504  8.80525210  9.81491597 10.21680672 11.13445378 11.77373950 12.10693277 12.39390756 12.39789916 12.91155462 13.24579832 12.74978992 12.48823529 11.70819328 10.86911765 10.49744136  9.85202559  8.96823028  7.97228145  7.25927505  6.33027719  5.08827292  3.95074627  3.00362473  1.48336887 -0.18614072 -1.77547974 -2.42366738 -2.92622601 -3.96119403 -4.19445629 -4.68741708 -4.417328e-03  6.395091e-04  1.051836e-03 -1.229355e-04  1.666934e-03  1.144733e-04  1.741817e-03  5.075528e-03  2.916149e-03  1.526469e-02  1.644368e-02  4.507513e-02  1.270760e-01  1.250509e-01  1.680748e-01  2.162255e-01  3.130266e-01  6.459002e-01  7.974328e-01  1.086020e+00  1.199971e+00  1.331729e+00  1.154916e+00  1.278469e+00  1.138483e+00  9.031600e-01  1.044987e+00  7.475942e-01  7.181412e-01  6.389595e-01  6.908186e-01  6.384279e-01  1.411971e-01  1.524708e-01  6.189911e-01  9.319661e-01  4.943400e-01  2.235819e-01  7.778877e-01  4.368634e-01  2.270723e-01  5.120640e-01  2.827180e-01  2.032806e-01  2.361304e-01  8.131597e-02  2.960256e-02  4.031501e-02  1.554374e-02  7.143950e-03  4.615435e-02  3.663799e-03 0.0038475863 0.0093681785 0.0146084800 0.0064214750 0.0013625304 0.0014326490 0.0129468558 0.0036274536 0.0152274741 0.0591169979 0.0832777658 0.1614045111 0.1635410638 0.2475693151 0.2360825171 0.3003264839 0.3197909748 0.2728956805 0.4294160746 0.4854737696 0.3832846715 0.5310091872 0.2775835334 0.2517184567 0.2259924920 0.1212882484 0.2378590058 0.0838164031 0.0208888028 0.0951726880 0.1095016297 0.0277457361 0.0177426910 0.0145300621 0.0256994293 0.0507242342 0.0229008448 0.0150984289 0.0629355399 0.0429151693 0.0255257794 0.1260929513 0.1520055471 0.1187455137 0.1204118568 0.0517591636 0.0344708589 0.0540102097 0.0204779382 0.0117810947 0.0912321241 0.0009025289
"9" 2056 "Seedorf" "Reuss"  832.0  438 2010  9.50 "ANT" "Andermatt" 1442 NA NA -5.62595020 -5.67116645 -5.72726081 -5.57601573 -5.50996068 -4.92241153 -5.36592398 -4.12437746 -3.08820446 -2.48912189 -1.22883355 -0.16474443  0.84967235  1.52280472  1.68217562  2.47955439  3.85150721  4.99384010  6.42685185  7.50449735  8.36402116  9.08014417  9.81022280 10.03407602 10.83473132 11.36055046 11.91965924 12.05753604 12.32359109 12.54823067 12.85229358 12.49161206 12.23486239 11.47903014 10.74757536 10.32962963  9.57394180  8.72817460  7.66812169  6.87976190  5.96865079  4.74219577  3.53650794  2.70489418  1.33452381 -0.60304233 -1.93558201 -2.53531746 -3.00873016 -4.14973545 -4.78518519 -5.06809414  1.706403e-02  2.495198e-02  2.450368e-02  7.542046e-04  1.501825e-02  1.494165e-02  2.010114e-02  1.454808e-02  2.659145e-02  4.905649e-02  5.929789e-02  1.056267e-01  1.864222e-01  1.648118e-01  2.241354e-01  3.131435e-01  3.683397e-01  5.603818e-01  5.155184e-01  7.072001e-01  7.744430e-01  8.320777e-01  7.726092e-01  7.609343e-01  6.185034e-01  5.141515e-01  4.191666e-01  3.187639e-01  2.540496e-01  2.564476e-01  2.108886e-01  1.892965e-01  1.511536e-01  1.027949e-01  1.889190e-01  1.890686e-01  1.492978e-01  1.309872e-01  3.897862e-02  5.829160e-02  7.983210e-02  1.438667e-01  5.806981e-02  9.552290e-02  3.567229e-02  6.259269e-02  3.340354e-02  2.660283e-02  1.879150e-02  2.638596e-02  3.316320e-02  3.050367e-02 0.0516706877 0.0734605950 0.0741948271 0.0158168594 0.0580598109 0.0493079544 0.0548542368 0.0367534017 0.0593162355 0.1303698029 0.1274782213 0.1732795672 0.2224247082 0.2098664902 0.3120361968 0.3888496225 0.3569856420 0.4427878809 0.3259637119 0.4369536069 0.3719902355 0.3698846479 0.3993382888 0.2829433529 0.2084123311 0.1655110028 0.1015652019 0.0572430037 0.0227227432 0.0253128966 0.0190655168 0.0137152165 0.0147551495 0.0138129705 0.0344410103 0.0283464690 0.0330928900 0.0389705567 0.0013350356 0.0054358735 0.0150343434 0.0553238316 0.0202689630 0.0700351471 0.0155981855 0.0585730578 0.0205069899 0.0299060998 0.0128997127 0.0354651970 0.0585177287 0.0815739356
"10" 2276 "Isenthal" "Grosstalbach"   43.9  767 1820  9.30 "ENG" "Engelberg" 1035 NA NA -2.44132653 -2.55382653 -2.59158163 -2.12015306 -1.97397959 -1.55501253 -2.17468672 -1.16390977 -0.35639098  0.04661654  1.72706767  2.60576441  3.28997494  4.04786967  3.76140351  5.03208020  6.97192982  7.61654135  9.41127820 10.03258145 10.51629073 10.81629073 11.72330827 12.25137845 13.21704261 13.83809524 14.09724311 14.45238095 14.35939850 14.69298246 15.00100251 14.50802005 14.47969925 13.64010025 12.37744361 11.93316327 11.44515306 10.67780612  9.60153061  9.01862245  8.00943878  6.30484694  5.52372449  4.73367347  3.32653061  1.84234694  0.01326531 -0.71683673 -1.11785714 -1.55076531 -1.75051020 -2.15577877  2.704822e-02  5.825657e-02  6.735871e-03  3.816301e-02  3.468899e-02  3.268201e-02  5.278238e-02  4.198210e-02  6.567148e-02  8.169337e-02  1.028021e-01  2.016662e-01  3.365025e-01  2.785802e-01  3.160580e-01  3.481258e-01  4.873542e-01  6.239006e-01  4.592523e-01  4.924573e-01  1.548862e-01  2.383831e-01  1.567288e-01  7.178324e-02  2.680236e-02 -1.356896e-03 -9.632385e-03 -2.448752e-01 -1.328434e-01 -2.181361e-01 -1.218445e-01 -7.298674e-02 -1.848860e-01 -1.858750e-01 -2.679641e-01 -7.963737e-02 -2.709701e-02 -2.427951e-02 -1.299672e-01  2.110615e-02 -1.538703e-02  1.190953e-01  2.317930e-02  5.025139e-02  6.119878e-02  8.519779e-02  8.090616e-02  5.972024e-02  4.393511e-02  8.291890e-02  9.879194e-02  6.989236e-02 0.0798720788 0.1106263265 0.0419829130 0.0829194349 0.1285984276 0.0827450524 0.1304663691 0.1283929356 0.1741458256 0.2871907138 0.1184777836 0.2804514508 0.2694714829 0.2831297814 0.2980970604 0.2885328822 0.3124747046 0.4276138197 0.2608839345 0.2163140400 0.0408747876 0.0550424494 0.0183854074 0.0048682371 0.0148346851 0.0103912609 0.0147425577 0.1478647416 0.1509023693 0.2240333808 0.1079881635 0.0950274343 0.1599741901 0.1069033560 0.1494972092 0.0722118102 0.0793025123 0.0187336635 0.1101734479 0.0157627005 0.0089045767 0.0369731725 0.0048884269 0.0136820306 0.0163022656 0.0408412875 0.0750321291 0.0724974452 0.0841805961 0.0630196501 0.1407242980 0.1511235183
